Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
18/04/2019,2141,2150.05,2116.3,2145.5,2137.71,88311,4079,188783124,21185,23.99,33.75,4.5
16/04/2019,2116,2153.8,2116,2132.45,2137.56,237129,10848,506877767,61356,25.87,37.8,16.45
15/04/2019,2071,2115,2041.05,2110.05,2085.44,397080,17124,828084993,93127,23.45,73.95,39.05
12/04/2019,2040,2040,2008.05,2013.75,2021.32,164813,6209,333140262,50653,30.73,31.95,-26.25
11/04/2019,2048,2055.3,2012.35,2019.05,2030.15,133391,6837,270803870,37100,27.81,42.95,-28.95
10/04/2019,2098.6,2098.6,2038.55,2043.8,2055.71,108591,5031,223231661,26306,24.22,60.05,-54.8
09/04/2019,2074.7,2096.1,2057,2088.1,2085.45,124591,4965,259828114,35281,28.32,39.1,13.4
08/04/2019,2060,2078,2033.55,2069.75,2058.46,112239,5087,231039796,34812,31.02,44.45,9.75
05/04/2019,2029.7,2058.95,2020,2051.45,2042.88,152384,5206,311302633,31490,20.66,38.95,21.75
04/04/2019,2080,2080.75,2006,2014.3,2035.54,150806,7255,306971644,48203,31.96,74.75,-65.7
03/04/2019,2089.8,2089.8,2060,2080.25,2075.85,126061,4606,261683210,28333,22.48,29.8,-9.55
02/04/2019,2040,2084,2035.55,2079.5,2065.35,156214,6705,322637007,52626,33.69,48.45,39.5
01/04/2019,2010,2040,2009.25,2031.3,2009.37,532795,3804,1070580036,465054,87.29,30.75,21.3
29/03/2019,2017.9,2024.9,1986.75,2000.4,2003.16,148516,5648,297501384,38387,25.85,38.15,-17.5
28/03/2019,1978,2010.95,1972.4,2000.45,1991.72,204930,4876,408163317,101190,49.38,38.55,22.45
27/03/2019,1985,1998.25,1961,1968.2,1976.93,125014,5015,247143643,49681,39.74,37.25,-16.8
26/03/2019,1985,1994,1959,1981.8,1971.84,133616,6422,263470037,45268,33.88,35,-3.2
25/03/2019,2007,2010,1979.3,1986.9,2014.25,535545,5786,1078723894,461292,86.14,30.7,-20.1
22/03/2019,2015.5,2015.5,1985.5,2004.65,1997.99,151043,5535,301782366,49252,32.61,30,-10.85
20/03/2019,2025,2044.6,2002,2015.5,2025.92,154786,5939,313584186,31251,20.19,42.6,-9.5
19/03/2019,2026,2030,1996.4,2024.7,2010.78,82270,4832,165426646,16056,19.52,33.6,-1.3
18/03/2019,2045,2062.9,2012,2021.3,2034.37,108133,4523,219982995,21313,19.71,50.9,-23.7
15/03/2019,1993,2069,1993,2040.2,2040.03,184492,7657,376369821,42397,22.98,76,47.2
14/03/2019,2009,2009,1982.3,1988.6,1991.86,47407,3402,94428022,13475,28.42,26.7,-20.4
13/03/2019,2006.1,2015.15,1978.6,2001.15,2000.68,91421,4920,182904221,32373,35.41,36.55,-4.95
12/03/2019,2018,2024.9,2003.35,2012.55,2014.94,55412,3045,111651803,13945,25.17,21.55,-5.45
11/03/2019,2022.7,2032.8,2005.5,2014.1,2016.94,52839,2639,106572846,14909,28.22,27.3,-8.6
08/03/2019,2029,2032.6,2010.05,2022.3,2023.19,96587,4480,195413588,24130,24.98,22.55,-6.7
07/03/2019,2000.5,2021,2000.5,2011.5,2013.88,70885,5079,142754034,19949,28.14,20.5,11
06/03/2019,1990,2014.35,1986.45,1999.4,2002.28,110167,6353,220584830,33273,30.2,27.9,9.4
05/03/2019,2002,2005,1978.05,1987.85,1986.45,87491,4811,173796142,24913,28.47,26.95,-14.15
01/03/2019,1990,2005.95,1982.5,1991.65,1993.5,141607,8958,282293955,35422,25.01,23.45,1.65
28/02/2019,2065,2070,1977.85,1984.25,2006.62,342425,13887,687117555,119804,34.99,92.15,-80.75
27/02/2019,2037,2070,2020.85,2053.75,2048.69,142848,7002,292651276,20605,14.42,49.15,16.75
26/02/2019,1977,2038.65,1969.9,2032.35,2018.18,217075,8576,438095631,46050,21.21,68.75,55.35
25/02/2019,1927.15,1990,1927.15,1985,1963.84,124746,6033,244981740,30710,24.62,62.85,57.85
22/02/2019,1920,1930.5,1905,1925.9,1920.63,63686,2703,122317354,13712,21.53,25.5,5.9
21/02/2019,1924,1939.8,1898.65,1912.25,1922.57,199720,6301,383975842,49271,24.67,41.15,-11.75
20/02/2019,1913.95,1933.8,1882,1914.45,1908.91,246655,8171,470842698,83147,33.71,51.8,0.5
